reward_today,future_reward,delay,key_resp.keys,key_resp.rt
11,89,138,t,0.001128
7,130,95,t,0.0030393
15,35,13,t,0.0187065
20,121,40,t,0.0216562
63,94,89,t,0.0243505
36,105,67,l,0.0247832
49,60,89,l,0.032969
46,89,97,l,0.0429515
69,123,53,t,0.0490776
58,125,61,t,0.0644459
20,110,130,l,0.0663982
11,115,97,t,0.0710579
40,93,60,t,0.0721641
49,86,133,l,0.0783808
65,99,129,t,0.0816022
54,120,93,t,0.0847371
67,75,119,t,0.0872274
37,129,56,l,0.0967741
67,97,40,l,0.1020181
75,81,146,t,0.1023763
25,113,126,t,0.1039258
26,91,109,t,0.1153582
28,101,145,t,0.116871
55,121,40,t,0.1268958
5,104,148,t,0.1271721
22,107,119,t,0.1271821
5,109,99,l,0.1281368
15,129,109,t,0.1395881
36,126,47,t,0.1444219
57,96,90,l,0.1450298
6,101,46,l,0.1462256
61,100,77,t,0.150423
59,115,120,t,0.1721693
79,100,67,t,0.1771714
78,80,162,t,0.1787758
47,83,107,t,0.1878496
34,115,49,t,0.1901925
72,111,95,t,0.1914267
55,112,131,t,0.1979263
53,114,58,t,0.1985444
80,82,143,l,0.2034197
24,111,82,t,0.2261026
71,106,100,t,0.2261812
27,89,52,l,0.2392232
60,89,93,t,0.2410291
24,99,63,l,0.2439413
35,116,100,t,0.2507666
28,104,60,l,0.2515822
28,102,76,t,0.2765565
3,93,78,t,0.2786726
64,104,74,t,0.2926638
32,114,111,l,0.2994745
2,106,85,t,0.3024064
56,129,130,l,0.3070602
22,85,82,t,0.3234573
7,99,40,l,0.3251935
77,100,143,l,0.3302762
29,98,40,t,0.3407327
16,110,45,t,0.3524982
40,117,125,t,0.3525287
13,104,48,l,0.3579789
15,107,59,t,0.3582265
30,101,68,l,0.3654584
4,121,124,l,0.3664643
47,128,46,t,0.3689031
40,55,62,l,0.3732399
58,128,81,t,0.3735671
53,100,81,l,0.3823152
8,99,103,t,0.3861598
35,119,44,t,0.3975889
28,104,42,t,0.4111282
70,116,89,l,0.4354078
48,125,107,l,0.4569751
17,117,142,l,0.4852218
78,88,92,l,0.4936918
42,93,40,l,0.4983868
77,91,73,t,0.4993817
46,97,98,t,0.5030104
68,128,83,l,0.5298339
58,86,95,t,0.5546744
27,50,21,l,0.5588164
53,111,87,l,0.5756008
39,108,139,l,0.6206244
13,104,52,l,0.659438
73,111,127,l,0.7905534
28,103,138,t,0.8071791
28,127,70,l,0.8678726
63,103,147,l,0.8979701
13,87,84,l,0.9305215
38,90,72,t,0.972387
28,86,67,t,1.0018392
49,83,99,l,1.0039128
64,102,109,l,1.0342833
38,125,85,t,1.0362562
46,103,98,t,1.0461685
58,96,93,t,1.0906844
11,30,7,l,1.0977153
80,81,143,l,1.1586779
45,91,119,l,1.2682587
2,110,106,l,1.3439882
