reward_today,future_reward,delay,key_resp.keys,key_resp.rt
28,104,42,l,0.0044349
5,104,148,t,0.0046319
47,128,46,t,0.0138651
8,99,103,l,0.0154487
58,125,61,l,0.0160312
67,97,40,t,0.0172783
24,111,82,t,0.0202435
56,129,130,t,0.0259981
70,116,89,t,0.0328581
15,35,13,l,0.0404444
64,104,74,l,0.0407469
15,107,59,l,0.0493862
49,60,89,t,0.0495018
78,80,162,l,0.0552168
39,108,139,l,0.0552573
77,100,143,t,0.0582029
28,127,70,l,0.059451
53,114,58,t,0.0604291
17,117,142,l,0.0621895
75,81,146,t,0.0736175
60,89,93,l,0.076458
36,105,67,t,0.0899994
5,109,99,t,0.0947743
38,90,72,t,0.0974825
13,104,48,t,0.0991882
48,125,107,l,0.10461
49,83,99,t,0.1052644
20,110,130,l,0.1204161
29,98,40,t,0.1229732
20,121,40,t,0.1280897
40,117,125,t,0.1312717
46,103,98,t,0.1457805
61,100,77,l,0.1542986
80,82,143,l,0.1571387
49,86,133,t,0.1636505
2,110,106,l,0.1679317
11,89,138,l,0.1794838
57,96,90,t,0.1815787
71,106,100,t,0.1817397
27,50,21,t,0.1817565
46,89,97,t,0.1850674
37,129,56,l,0.2046361
55,121,40,t,0.2124529
80,81,143,l,0.2216413
58,86,95,l,0.2251325
28,101,145,t,0.2587879
34,115,49,t,0.2665186
22,107,119,l,0.2700803
72,111,95,t,0.2738591
68,128,83,t,0.2772279
28,86,67,l,0.2913254
69,123,53,t,0.2937529
28,102,76,t,0.3018803
13,104,52,t,0.3031294
79,100,67,l,0.3036991
67,75,119,t,0.3088339
65,99,129,t,0.3106853
46,97,98,l,0.3281435
22,85,82,t,0.328703
27,89,52,l,0.328949
11,115,97,t,0.3301327
64,102,109,l,0.3362233
7,99,40,l,0.3369727
11,30,7,t,0.3397514
28,104,60,l,0.3425768
15,129,109,l,0.3465011
77,91,73,t,0.3679866
55,112,131,l,0.3859933
42,93,40,t,0.3870979
40,93,60,t,0.3883074
73,111,127,l,0.4011054
63,94,89,t,0.4011207
58,96,93,l,0.4027703
2,106,85,t,0.4285737
6,101,46,t,0.4912981
36,126,47,t,0.5305307
45,91,119,l,0.5336016
3,93,78,l,0.5495711
4,121,124,l,0.5815732
35,119,44,l,0.5897888
40,55,62,t,0.5969164
28,103,138,l,0.6334219
53,100,81,l,0.6671401
53,111,87,l,0.6866171
78,88,92,t,0.7223576
30,101,68,l,0.7365954
26,91,109,t,0.8917672
47,83,107,l,0.906373
59,115,120,t,0.997218
24,99,63,t,1.104464
7,130,95,t,1.2157548
13,87,84,l,1.2910895
63,103,147,l,1.3016171
16,110,45,l,1.4795719
58,128,81,t,1.6792313
35,116,100,l,2.5675438
32,114,111,t,2.7529113
25,113,126,t,2.9982208
38,125,85,t,3.5410905
54,120,93,l,4.128031
