12.3159 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2880, 1920]. Using actual size
13.6620 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000281D8DD1E80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000281D8DD1E20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000281D8DD1B20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000281DF9AF6D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([2880, 1920]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.6621 	EXP 	window1: mouseVisible = True
13.6621 	EXP 	window1: backgroundImage = ''
13.6622 	EXP 	window1: backgroundFit = 'none'
13.6623 	EXP 	window1: mouseVisible = False
13.6623 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.6624 	EXP 	window1: recordFrameIntervals = False
13.8279 	EXP 	window1: recordFrameIntervals = True
14.0117 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
14.0117 	EXP 	window1: recordFrameIntervals = False
16.2765 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
16.3224 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
16.3402 	EXP 	Imported C:/Users/urmil/OneDrive/Documents/discounting_conditons.xlsx as conditions, 100 conditions, 3 params
16.3437 	EXP 	Created sequence: random, trialTypes=100, nReps=1, seed=None
16.3442 	EXP 	New trial (rep=0, index=0): {'reward_today': 73, 'future_reward': 111, 'delay': 127}
16.4459 	EXP 	text: height = 0.05
16.4459 	EXP 	text: height = 0.05
16.4459 	EXP 	text: height = 0.05
16.4459 	EXP 	text: text = 'GBP73 todayor GBP 111after127 days'
16.4459 	EXP 	fixation: autoDraw = True
17.2472 	DATA 	Keypress: l
17.3279 	EXP 	text: autoDraw = True
17.4615 	EXP 	fixation: autoDraw = False
17.7306 	DATA 	Keypress: l
