28.3237 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2880, 1920]. Using actual size
29.5037 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A13B1FE50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A13B1FFD0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016A13B1FD00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000016A1A1B61F0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([2880, 1920]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
29.5039 	EXP 	window1: mouseVisible = True
29.5039 	EXP 	window1: backgroundImage = ''
29.5039 	EXP 	window1: backgroundFit = 'none'
29.5040 	EXP 	window1: mouseVisible = False
29.5040 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
29.5040 	EXP 	window1: recordFrameIntervals = False
29.6701 	EXP 	window1: recordFrameIntervals = True
29.8533 	EXP 	Screen (0) actual frame rate measured at 60.05Hz
29.8534 	EXP 	window1: recordFrameIntervals = False
32.0494 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
32.0805 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
32.0955 	EXP 	Imported C:/Users/urmil/OneDrive/Documents/discounting_conditons.xlsx as conditions, 100 conditions, 3 params
32.0969 	EXP 	Created sequence: random, trialTypes=100, nReps=1, seed=None
32.0971 	EXP 	New trial (rep=0, index=0): {'reward_today': 25, 'future_reward': 113, 'delay': 126}
32.1711 	EXP 	text: height = 0.05
32.1711 	EXP 	text: height = 0.05
32.1711 	EXP 	text: height = 0.05
32.1711 	EXP 	text: text = 'GBP25 todayor GBP 113after126 days'
32.1711 	EXP 	fixation: autoDraw = True
33.0864 	EXP 	text: autoDraw = True
33.1701 	EXP 	fixation: autoDraw = False
33.4216 	EXP 	New trial (rep=0, index=1): {'reward_today': 70, 'future_reward': 116, 'delay': 89}
33.4335 	DATA 	Keypress: l
33.4365 	EXP 	fixation: autoDraw = False
33.4365 	EXP 	text: autoDraw = False
33.4365 	EXP 	text: height = 0.05
33.4365 	EXP 	text: height = 0.05
33.4365 	EXP 	text: height = 0.05
33.4365 	EXP 	text: text = 'GBP70 todayor GBP 116after89 days'
33.4365 	EXP 	fixation: autoDraw = True
34.2573 	DATA 	Keypress: t
34.4368 	EXP 	fixation: autoDraw = False
34.4368 	EXP 	text: autoDraw = True
34.4725 	EXP 	New trial (rep=0, index=2): {'reward_today': 60, 'future_reward': 89, 'delay': 93}
34.4812 	DATA 	Keypress: t
34.4863 	EXP 	fixation: autoDraw = False
34.4863 	EXP 	text: autoDraw = False
34.4863 	EXP 	text: height = 0.05
34.4863 	EXP 	text: height = 0.05
34.4863 	EXP 	text: height = 0.05
34.4863 	EXP 	text: text = 'GBP60 todayor GBP 89after93 days'
34.4863 	EXP 	fixation: autoDraw = True
34.7387 	DATA 	Keypress: t
34.9724 	DATA 	Keypress: t
