reward_today,future_reward,delay,key_resp.keys,key_resp.rt
69,123,53,t,0.0014598
77,91,73,l,0.0076144
42,93,40,t,0.0098849
80,82,143,l,0.0151104
38,125,85,t,0.0191073
11,89,138,l,0.0203369
28,86,67,t,0.0240842
57,96,90,l,0.0371279
25,113,126,l,0.0416505
24,99,63,t,0.0444677
58,128,81,t,0.0458286
28,127,70,t,0.049261
20,121,40,l,0.0529316
64,102,109,t,0.057185
53,100,81,t,0.0573422
28,103,138,l,0.059762
28,104,60,l,0.0653102
22,85,82,t,0.0702476
36,126,47,l,0.0714742
75,81,146,t,0.0716636
28,104,42,l,0.078263
8,99,103,l,0.089299
39,108,139,t,0.0933154
7,130,95,l,0.0946158
37,129,56,t,0.0987106
29,98,40,t,0.1123494
49,60,89,l,0.1236382
80,81,143,l,0.1248022
15,35,13,t,0.1348969
63,103,147,l,0.1405277
22,107,119,l,0.1568738
26,91,109,l,0.1590355
47,128,46,l,0.1635162
27,50,21,t,0.177397
53,111,87,t,0.1784854
7,99,40,l,0.1887983
46,97,98,t,0.1939436
49,86,133,t,0.1950581
56,129,130,l,0.2083262
5,104,148,t,0.2432329
64,104,74,l,0.2477561
59,115,120,t,0.2611411
73,111,127,t,0.262288
63,94,89,l,0.262292
67,97,40,t,0.2656411
13,104,48,l,0.2678754
35,116,100,t,0.2796681
28,101,145,t,0.2877203
2,110,106,t,0.2900776
30,101,68,t,0.2935097
11,115,97,l,0.2940824
38,90,72,t,0.301489
67,75,119,l,0.3055416
28,102,76,l,0.3083436
27,89,52,l,0.3094485
58,125,61,t,0.3169799
55,121,40,t,0.3226368
4,121,124,t,0.3244476
35,119,44,l,0.3246961
53,114,58,t,0.3363028
65,99,129,l,0.3373859
72,111,95,l,0.3381981
3,93,78,t,0.3441142
61,100,77,t,0.3609872
36,105,67,t,0.3654453
58,96,93,t,0.3700517
47,83,107,t,0.3712913
11,30,7,l,0.3942523
71,106,100,t,0.3967186
60,89,93,t,0.4129308
17,117,142,t,0.4178091
49,83,99,t,0.4303547
58,86,95,t,0.4445318
46,89,97,t,0.4463121
15,107,59,l,0.4673249
32,114,111,t,0.4750309
55,112,131,t,0.4788915
6,101,46,t,0.5338414
77,100,143,l,0.5455237
78,80,162,t,0.550366
78,88,92,l,0.5581127
16,110,45,t,0.6196868
48,125,107,l,0.6421528
46,103,98,t,0.7512818
20,110,130,l,0.7676781
40,117,125,l,0.7882612
68,128,83,l,0.8259384
2,106,85,t,0.8359978
13,104,52,t,0.8375303
79,100,67,t,0.9035663
15,129,109,t,0.9311194
34,115,49,t,0.9357641
40,55,62,t,0.9832124
40,93,60,l,1.002208
24,111,82,t,1.0273474
54,120,93,t,1.0704178
13,87,84,t,1.0832124
5,109,99,l,1.1418385
70,116,89,l,1.3714861
45,91,119,t,1.7641452
